iter	Passed	Remaining
596	2435	1644
597	2439	1640
598	2444	1636
599	2447	1631
600	2452	1628
601	2456	1624
602	2461	1620
603	2465	1616
604	2470	1613
605	2474	1608
606	2479	1605
607	2483	1601
608	2488	1597
609	2493	1594
610	2497	1590
611	2503	1587
612	2507	1583
613	2511	1579
614	2516	1575
615	2520	1571
616	2524	1567
617	2529	1563
618	2533	1559
619	2536	1554
620	2541	1551
621	2546	1547
622	2550	1543
623	2555	1540
624	2559	1535
625	2563	1531
626	2568	1528
627	2572	1523
628	2576	1519
629	2581	1515
630	2585	1511
631	2588	1507
632	2593	1503
633	2597	1499
634	2601	1495
635	2606	1492
636	2611	1487
637	2614	1483
638	2618	1479
639	2622	1474
640	2626	1470
641	2632	1467
642	2635	1463
643	2640	1459
644	2645	1455
645	2649	1452
646	2655	1448
647	2660	1445
648	2665	1441
649	2671	1438
650	2678	1435
651	2682	1431
652	2687	1428
653	2693	1425
654	2697	1421
655	2704	1418
656	2709	1414
657	2712	1410
658	2718	1406
659	2723	1402
660	2727	1398
661	2731	1394
662	2737	1391
663	2743	1388
664	2746	1383
665	2751	1379
666	2756	1376
667	2761	1372
668	2766	1368
669	2771	1365
670	2775	1360
671	2780	1356
672	2784	1352
673	2788	1348
674	2793	1344
675	2798	1341
676	2803	1337
677	2807	1333
678	2811	1329
679	2817	1325
680	2821	1321
681	2827	1318
682	2831	1314
683	2836	1310
684	2840	1306
685	2844	1301
686	2848	1297
687	2852	1293
688	2857	1289
689	2861	1285
690	2865	1281
691	2869	1277
692	2873	1273
693	2882	1271
694	2887	1267
695	2895	1264
696	2900	1260
697	2905	1257
698	2910	1253
699	2915	1249
700	2919	1245
701	2923	1241
702	2928	1237
703	2932	1232
704	2935	1228
705	2937	1223
706	2942	1219
707	2946	1215
708	2950	1211
709	2955	1207
710	2959	1202
711	2963	1198
712	2967	1194
713	2971	1190
714	2975	1186
715	2980	1182
716	2984	1178
717	2990	1174
718	2995	1170
719	3001	1167
720	3006	1163
721	3010	1159
722	3015	1155
723	3019	1151
724	3024	1147
725	3029	1143
726	3033	1139
727	3037	1134
728	3042	1130
729	3046	1126
730	3051	1122
731	3055	1118
732	3060	1114
733	3070	1112
734	3078	1110
735	3085	1106
736	3091	1103
737	3095	1099
738	3099	1094
739	3105	1091
740	3110	1087
741	3115	1083
742	3120	1079
743	3126	1075
744	3132	1072
745	3137	1068
746	3141	1063
747	3143	1059
748	3148	1055
749	3153	1051
750	3158	1047
751	3164	1043
752	3169	1039
753	3174	1035
754	3179	1031
755	3184	1027
756	3188	1023
757	3193	1019
758	3197	1015
759	3202	1011
760	3207	1007
761	3212	1003
762	3216	999
763	3221	995
764	3226	991
765	3231	987
766	3236	983
767	3242	979
768	3246	975
769	3250	971
770	3257	967
771	3261	963
772	3267	959
773	3273	955
774	3286	954
775	3291	950
776	3296	946
777	3301	941
778	3307	938
779	3311	933
780	3316	929
781	3322	926
782	3327	922
783	3331	917
784	3336	913
785	3340	909
786	3345	905
787	3349	901
788	3354	896
789	3358	892
790	3362	888
791	3367	884
792	3371	880
793	3375	875
794	3379	871
795	3383	867
796	3388	862
797	3393	858
798	3399	855
799	3403	850
800	3407	846
801	3411	842
802	3415	837
803	3419	833
804	3423	829
805	3426	824
806	3430	820
807	3434	816
808	3438	811
809	3442	807
810	3447	803
811	3451	799
812	3455	794
813	3460	790
814	3464	786
815	3470	782
816	3474	778
817	3479	774
818	3483	769
819	3488	765
820	3494	761
821	3498	757
822	3502	753
823	3506	748
824	3511	744
825	3515	740
826	3520	736
827	3524	732
828	3528	727
829	3532	723
830	3536	719
831	3540	714
832	3543	710
833	3547	706
834	3553	702
835	3557	697
836	3561	693
837	3566	689
838	3570	685
839	3573	680
840	3577	676
841	3581	672
842	3585	667
843	3590	663
844	3595	659
845	3598	655
846	3603	650
847	3607	646
848	3611	642
849	3614	637
850	3618	633
851	3622	629
852	3626	624
853	3630	620
854	3634	616
855	3638	612
856	3643	607
857	3647	603
858	3651	599
859	3655	595
860	3659	590
861	3664	586
862	3669	582
863	3673	578
864	3677	573
865	3682	569
866	3687	565
867	3691	561
868	3696	557
869	3701	553
870	3706	548
871	3711	544
872	3716	540
873	3720	536
874	3724	532
875	3729	527
876	3733	523
877	3737	519
878	3741	514
879	3745	510
880	3748	506
881	3752	502
882	3757	497
883	3761	493
884	3765	489
885	3769	485
886	3773	480
887	3777	476
888	3781	472
889	3785	467
890	3789	463
891	3794	459
892	3798	455
893	3802	450
894	3806	446
895	3809	442
896	3813	437
897	3817	433
898	3821	429
899	3825	425
900	3829	420
901	3833	416
902	3838	412
903	3843	408
904	3848	403
905	3852	399
906	3857	395
907	3861	391
908	3865	387
909	3869	382
910	3872	378
911	3876	374
912	3880	369
913	3884	365
914	3888	361
915	3893	357
916	3897	352
917	3901	348
918	3905	344
919	3909	339
920	3913	335
921	3917	331
922	3921	327
923	3926	322
924	3931	318
925	3936	314
926	3941	310
927	3945	306
928	3949	301
929	3953	297
930	3958	293
931	3962	289
932	3966	284
933	3972	280
934	3976	276
935	3979	272
936	3984	267
937	3988	263
938	3992	259
939	3996	255
940	4000	250
941	4004	246
942	4008	242
943	4012	238
944	4016	233
945	4021	229
946	4025	225
947	4029	221
948	4033	216
949	4037	212
950	4041	208
951	4046	204
952	4051	199
953	4055	195
954	4060	191
955	4064	187
956	4068	182
957	4072	178
958	4077	174
959	4081	170
960	4085	165
961	4089	161
962	4093	157
963	4097	153
964	4101	148
965	4105	144
966	4109	140
967	4113	135
968	4117	131
969	4121	127
970	4125	123
971	4129	118
972	4133	114
973	4137	110
974	4141	106
975	4145	101
976	4149	97
977	4153	93
978	4157	89
979	4161	84
980	4165	80
981	4169	76
982	4173	72
983	4177	67
984	4181	63
985	4186	59
986	4190	55
987	4195	50
988	4200	46
989	4203	42
990	4208	38
991	4212	33
992	4216	29
993	4220	25
994	4224	21
995	4228	16
996	4231	12
997	4236	8
998	4240	4
999	4245	0
